Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
1,9662.37,Sup. const. sobre rasant,m2,1
1,2112.13,Sup. const. sota rasant,m2,2
1,11774.5,Sup. const. total,m2,3
1,1863.63,Sup. del terreny,m2,4
3,2384,Sup. const. sobre rasant,m2,5
3,269,Sup. const. sota rasant,m2,6
3,2653,Sup. const. total,m2,7
3,7590,Sup. del terreny,m2,8
9,585,Sup. const. sobre rasant,m2,9
9,0,Sup. const. sota rasant,m2,10
9,585,Sup. const. total,m2,11
9,281,Sup. del terreny,m2,12
11,3628.01,Sup. const. sobre rasant,m2,13
11,0,Sup. const. sota rasant,m2,14
11,3628.01,Sup. const. total,m2,15
11,1757.82,Sup. del terreny,m2,16
13,382,Sup. const. sobre rasant,m2,17
13,0,Sup. const. sota rasant,m2,18
13,382,Sup. const. total,m2,19
13,0,Sup. del terreny,m2,20
15,128,Sup. const. sobre rasant,m2,21
15,0,Sup. const. sota rasant,m2,22
15,128,Sup. const. total,m2,23
15,0,Sup. del terreny,m2,24
16,0,Sup. const. sobre rasant,m2,25
16,0,Sup. const. sota rasant,m2,26
16,0,Sup. const. total,m2,27
16,0,Sup. del terreny,m2,28
18,300,Sup. const. sobre rasant,m2,29
18,0,Sup. const. sota rasant,m2,30
18,300,Sup. const. total,m2,31
18,0,Sup. del terreny,m2,32
21,3067.28,Sup. const. sobre rasant,m2,33
21,466.82,Sup. const. sota rasant,m2,34
21,3534.1,Sup. const. total,m2,35
21,7000,Sup. del terreny,m2,36
29,2569,Sup. const. sobre rasant,m2,37
29,814,Sup. const. sota rasant,m2,38
29,3383,Sup. const. total,m2,39
29,5220,Sup. del terreny,m2,40
30,544.21,Sup. const. sobre rasant,m2,41
30,0,Sup. const. sota rasant,m2,42
30,544.21,Sup. const. total,m2,43
30,0,Sup. del terreny,m2,44
31,1267.97,Sup. const. sobre rasant,m2,45
31,0,Sup. const. sota rasant,m2,46
31,1267.97,Sup. const. total,m2,47
31,145.52,Sup. del terreny,m2,48
34,0,Sup. const. sobre rasant,m2,49
34,0,Sup. const. sota rasant,m2,50
34,0,Sup. const. total,m2,51
34,528,Sup. del terreny,m2,52
36,2917.9,Sup. const. sobre rasant,m2,53
36,394.1,Sup. const. sota rasant,m2,54
36,3312,Sup. const. total,m2,55
36,6095,Sup. del terreny,m2,56
37,2961.01,Sup. const. sobre rasant,m2,57
37,0,Sup. const. sota rasant,m2,58
37,2961.01,Sup. const. total,m2,59
37,12024,Sup. del terreny,m2,60
38,2134,Sup. const. sobre rasant,m2,61
38,0,Sup. const. sota rasant,m2,62
38,2134,Sup. const. total,m2,63
38,13500,Sup. del terreny,m2,64
39,2747.2,Sup. const. sobre rasant,m2,65
39,0,Sup. const. sota rasant,m2,66
39,2747.2,Sup. const. total,m2,67
39,7000,Sup. del terreny,m2,68
40,1620.61,Sup. const. sobre rasant,m2,69
40,393.49,Sup. const. sota rasant,m2,70
40,2014.1,Sup. const. total,m2,71
40,396,Sup. del terreny,m2,72
42,6537.98,Sup. const. sobre rasant,m2,73
42,1828.94,Sup. const. sota rasant,m2,74
42,8366.92,Sup. const. total,m2,75
42,905.64,Sup. del terreny,m2,76
44,11481.71,Sup. const. sobre rasant,m2,77
44,0,Sup. const. sota rasant,m2,78
44,11481.71,Sup. const. total,m2,79
44,2172.19,Sup. del terreny,m2,80
50,178.56,Sup. const. sobre rasant,m2,81
50,0,Sup. const. sota rasant,m2,82
50,178.56,Sup. const. total,m2,83
50,353.43,Sup. del terreny,m2,84
51,5934,Sup. const. sobre rasant,m2,85
