Num. Ens/ Num. Inventari,Província,Municipi,Via,Num. via,Departament-Assig./Adscrip.,Espai,Tipus d'ús,area_value,Ref. Cadastral
1,Barcelona,Barcelona (08007),Corts Catalanes,612-614,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;","Conselleria del Departament Agricultura, Ramaderia, Pesca i Alimentació (Edifici Pirelli)",Oficina,9662.37;9662.37;2112.13;11774.5;1863.63,0422304DF3802C0001TR
3,Barcelona,Barcelona (08034),Eusebi Güell,4 i 5,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Unitat Tècnica Territorial de Seguretat i Salut Laboral a Barcelona,Oficina,2384;2384;269;2653;7590,6026801DF2862E0001DA
8,Barcelona,Barcelona (08028),De les Corts,47,--Conex (Altres) ;,Centre Formació Voluntariat,Altres centres docents,887.74;887.74;0;887.74;0,6412411DF2861C0093GK
8,Barcelona,Barcelona (08028),De les Corts,47,--Conex (Altres) ;,Centre Formació Voluntariat,Altres centres docents,887.74;887.74;0;887.74;0, 6412411DF2861C0091DH
8,Barcelona,Barcelona (08028),De les Corts,47,--Conex (Altres) ;,Centre Formació Voluntariat,Altres centres docents,887.74;887.74;0;887.74;0, 6412412DF2861C0148BF
9,Barcelona,Calella (08370),Esglesia,249-251,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",(Ocupat) Orfeó Calellenc (antiga Llar del Productor),Teatre,585;585;0;585;281,2174516DG7027S0001UB
11,Barcelona,Esparreguera (),Francesc Macia,26-30,--Ajuntament d'Esparraguera (Altres) ;,Biblioteca i arxiu municipal (antic Ateneu d'Esparreguera),Biblioteca,3628.01;3628.01;0;3628.01;1757.82,5693335DF0959S0001LS
12,Barcelona,Manresa (),Alfons XII,13,"--Departament d'Empresa i Coneixement (Assignació) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Unitat Territorial,Oficina,778.49;778.49;0;778.49;0,2399403DG0129G0022UA
12,Barcelona,Manresa (),Alfons XII,13,"--Departament d'Empresa i Coneixement (Assignació) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Unitat Territorial,Oficina,778.49;778.49;0;778.49;0, 2399403DG0129G0020TO
13,Barcelona,Manresa (),Pere III,60-62,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Oficines UGT,Local sindical,382;382;0;382;0,2607701DG0220A0001TQ
14,Barcelona,Vilanova i la Geltrú (),Far de Sant Cristofol,12-14,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Centre Molí de Mar - Centre d'acollida,Centre d'acollida,1252;1252;156;1408;5822.64,4338003CF9643N0001JQ
14,Barcelona,Vilanova i la Geltrú (),Far de Sant Cristofol,12-14,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Centre Molí de Mar - Centre d'acollida,Centre d'acollida,1252;1252;156;1408;5822.64, 4338004CF9643N0001EQ
15,Girona,Figueres (),Poeta Marquina,7,--Ajuntament de Figueres (Altres) ;,Llar del productor - Local cedit a l'Ajuntament de Figueres,Centre cívic,128;128;0;128;0,6595702DG9769N0001AY
16,Girona,Blanes (17300),Muralla,28,--Direcció General del Patrimoni de la Generalitat de Catalunya (Assignació) ;,Casa del Poble de Blanes,Centre cívic,0;0;0;0;0,2637401DG8123N0002UI
18,Girona,Banyoles (),Dalmau,1,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Zona Esportiva La Barraca Campolier - PS Dalmau 1,Esportiu,300;300;0;300;0,9728604DG7692Ndesconegut
19,Girona,Girona (),Gran Via de Jaume i,41-45,"--Consell Català de l'Esport (Adscripció) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Edifici Santander,Oficina,481.13;481.13;0;481.13;0,5280103DG8458A0061SZ
19,Girona,Girona (),Gran Via de Jaume i,41-45,"--Consell Català de l'Esport (Adscripció) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Edifici Santander,Oficina,481.13;481.13;0;481.13;0, 5280103DG8458A0060AB
19,Girona,Girona (),Gran Via de Jaume i,41-45,"--Consell Català de l'Esport (Adscripció) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Edifici Santander,Oficina,481.13;481.13;0;481.13;0, 5280103DG8458A0081ES
21,Girona,Girona (),Esglesia de Sant Miquel,s/n,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Centre de Seguretat i Higiene,Habitatge,3067.28;3067.28;466.82;3534.1;7000,5553902DG8455D0001JQ
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Museu,4263.12;4263.12;0;4263.12;10124.7,2803124EG1920S0001YW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Museu,4263.12;4263.12;0;4263.12;10124.7, 2803121EG1920S0001WW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Museu,4263.12;4263.12;0;4263.12;10124.7, 2803114EG1920S0001SW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Museu,4263.12;4263.12;0;4263.12;10124.7, 2803113EG1920S0001EW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Museu,4263.12;4263.12;0;4263.12;10124.7, 2704104EG1920S0001IW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Centre cívic,4263.12;4263.12;0;4263.12;10124.7,2803124EG1920S0001YW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Centre cívic,4263.12;4263.12;0;4263.12;10124.7, 2803121EG1920S0001WW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Centre cívic,4263.12;4263.12;0;4263.12;10124.7, 2803114EG1920S0001SW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Centre cívic,4263.12;4263.12;0;4263.12;10124.7, 2803113EG1920S0001EW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Centre cívic,4263.12;4263.12;0;4263.12;10124.7, 2704104EG1920S0001IW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Biblioteca,4263.12;4263.12;0;4263.12;10124.7,2803124EG1920S0001YW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Biblioteca,4263.12;4263.12;0;4263.12;10124.7, 2803121EG1920S0001WW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Biblioteca,4263.12;4263.12;0;4263.12;10124.7, 2803114EG1920S0001SW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Biblioteca,4263.12;4263.12;0;4263.12;10124.7, 2803113EG1920S0001EW
24,Girona,Llançà (),Rafael Estela,29,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Museu i Centre d’estudis de la Tramuntana i altres- Antiga Residència de Llançà Casa Marly,Biblioteca,4263.12;4263.12;0;4263.12;10124.7, 2704104EG1920S0001IW
25,Girona,Queralbs (),Pic de l'Aliga,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ; --Agència Catalana de la Joventut (Adscripció) ;",Vall de Núria - Pic de l'Àliga,Hotel,2717;2717;0;2717;51570620,1394301DG3819S0000MK
25,Girona,Queralbs (),Pic de l'Aliga,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ; --Agència Catalana de la Joventut (Adscripció) ;",Vall de Núria - Pic de l'Àliga,Hotel,2717;2717;0;2717;51570620, 001100200DG39C0001DM
25,Girona,Queralbs (),Pic de l'Aliga,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ; --Agència Catalana de la Joventut (Adscripció) ;",Vall de Núria - Pic de l'Àliga,Hotel,2717;2717;0;2717;51570620, 1292601DG3819S0000PK
25,Girona,Queralbs (),Pic de l'Aliga,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ; --Agència Catalana de la Joventut (Adscripció) ;",Vall de Núria - Pic de l'Àliga,Hotel,2717;2717;0;2717;51570620, 1292601DG3819S0001AL
26,Lleida,Les (25540),Paissas,s/n,--Departament d'Ensenyament (Assignació) ;,Residència/IES d'Hostaleria de Les-Val d'Aran,Institut,3027.59;3027.59;1084.52;4112.11;1587,2924001CG1422S0001II
26,Lleida,Les (25540),Paissas,s/n,--Departament d'Ensenyament (Assignació) ;,Residència/IES d'Hostaleria de Les-Val d'Aran,Institut,3027.59;3027.59;1084.52;4112.11;1587, 2924001CG1422S0002OO
29,Lleida,Lleida (),Josep Segura Farre,727,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Centre de Seguretat i Higiene de Lleida - CR Josep Segura Farre 726  727,Oficina,2569;2569;814;3383;5220,5510713CG0151B0001KZ
30,Lleida,Lleida (),Catalunya,2,--Departament de Polítiques Digitals i Administració Pública (Assignació) ;,Local Sindical - AV Catalunya 2,Local sindical,544.21;544.21;0;544.21;0,2095208CG0029E0001PY
31,Lleida,Lleida (),Ramon Castejon,3-5,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Delegació Territorial - CR Ramon Castejon 3  5,Oficina,1267.97;1267.97;0;1267.97;145.52,
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0,7451126CF5575A0001PG
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7347901CF5574G0001SY
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7748903CF5574H0001EG
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7446201CF5574F0001JB
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7847609CF5574F0000IL
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7451126CF5575A0002AH
33,Tarragona,Tarragona (43007),Augusta,166,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Ciutat de Repòs i de Vacances de Tarragona,Habitatge,23826.97;23826.97;2741;26567.97;0, 7847609CF5574F0001OB
34,Tarragona,Tarragona (),Platja la Rabassada,,--Departament d'Empresa i Coneixement (Assignació) ;,- CM Platja la Rabassada,Centre cívic,0;0;0;0;528,
36,Tarragona,Tarragona (),Riu Ciurana,29 B,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Centre de Seguretat i Higiene del Treball,Oficina,2917.9;2917.9;394.1;3312;6095,9536102CF4593F0001TX
37,Tarragona,Tarragona (),Budallera,s/n,--Servei Públic d'Ocupació de Catalunya (SOC) (Adscripció) ;,Centre d´Innovació i Formació Ocupacional,Centre d'Innovació i Formació Ocupacional,2961.01;2961.01;0;2961.01;12024,5642711CF5554S0001GM
38,Tarragona,Valls (),Rec del Vilar,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Cedit a l'Ajuntament -Partida Rec del Vilar,Esportiu,2134;2134;0;2134;13500,4525613CF5742C0001GE
39,Barcelona,Terrassa (),Nacional 150,15 K -,--Servei Públic d'Ocupació de Catalunya (SOC) (Adscripció) ;,CIFO  El Vallès,Centre d'Innovació i Formació Ocupacional,2747.2;2747.2;0;2747.2;7000,001706600DG20A0001BO
40,Girona,Girona (),Barcelona,54,--Agència Tributària de Catalunya (Adscripció) ;,Oficines de l'Agència Tributària de Catalunya,Oficina,1620.61;1620.61;393.49;2014.1;396,4975913DG8447F0001OE
42,Barcelona,Barcelona (08007),Catalunya,19-21,--Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Conselleria del Departament de la Vicepresidència i d'Economia i Hisenda (Casa Pons),Oficina,6537.98;6537.98;1828.94;8366.92;905.64,0223511DF3802C0001QR
43,Barcelona,Barcelona (08010),Fontanella,6-8,--Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Dependències del Departament de la Vicepresidència i d'Economia i Hisenda,Oficina,3715.88;3715.88;417.74;4133.62;0,0822703DF3802B0002RL
43,Barcelona,Barcelona (08010),Fontanella,6-8,--Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Dependències del Departament de la Vicepresidència i d'Economia i Hisenda,Oficina,3715.88;3715.88;417.74;4133.62;0, 0822703DF3802B0003TB
44,Barcelona,Barcelona (08011),Sepulveda,148-150,"--Departament d'Empresa i Coneixement (Assignació) ; --Departament de Treball, Afers Socials i Famílies (Assignació) ;",Oficines Departament de Treball i Departament d'Empresa i Coneixement,Oficina,11481.71;11481.71;0;11481.71;2172.19,9916805DF2891F0001RG
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0,1795306CG0019F0013TB
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0020OQ
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0017OQ
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0001LA
