Num. Ens,Província,Municipi,Codi Postal,Via,Num. via,Departament-Assig./Adscrip.,Espai,Tipus d'ús,Ref. Cadastral
3854,Barcelona,Argentona,8310,Peons Caminers,26,--Departament d'Ensenyament (Assignació) ;,Institut d'Argentona,Institut,0702802DG5000S0001TU;
2221,Barcelona,Artés,8271,Arquitecte Gaudí,2-4,--Departament d'Ensenyament (Assignació) ;,Institut Miquel Bosch i Jover,Institut,2876701DG1227N0001XL;
2221,Barcelona,Artés,8271,Arquitecte Gaudí,2-4,--Departament d'Ensenyament (Assignació) ;,Institut Miquel Bosch i Jover,Institut,2976602DG1227N0001LL;
1134,Barcelona,Viladecans,8840,C-246 i B-204,11 K,--Departament de Territori i Sostenibilitat (Assignació) ;,"Parc de Maquinària ""Can Sabadell"" o ""Las Africas"" - CT C-246 i B-204 11 K",Parc de maquinària,000100700DF27A0001MI;
1348,Barcelona,Viladecans,8840,Dos de Maig,43-45,--Servei Català de la Salut (CatSalut) (Assignació) ;,CAP Dos de Maig,Centre Assistència Primària,7347702DF1774E;
1379,Girona,Roses,17480,Afores,32,--Departament de Territori i Sostenibilitat (Assignació) ;,Caseta de Peó Caminaire - DI Afores 32,Habitatge,17161A001001770000BJ;
1379,Girona,Roses,17480,Afores,32,--Departament de Territori i Sostenibilitat (Assignació) ;,Caseta de Peó Caminaire - DI Afores 32,Habitatge,17161A001001770001ZK;
2539,Girona,Roses,17481,Cadaques,s/n,--Departament d'Interior (Assignació) ;,Parc de Bombers,Parc de bombers,17161A008002100000BU;
1854,Girona,Roses,17482,De les Arenes,39-43,--Departament d'Interior (Assignació) ;,Comissaria de Mossos d'Esquadra,Comissaria de mossos d'esquadra,17161A008010040000BM;
6349,Girona,Roses,17483,De Roses a Besalu Parcel·la 37,6,--Departament de Territori i Sostenibilitat (Assignació) ;,"Tram Roses C-260 pk 42,500 a 43,750",Vial,3597108EG1739N0001SE;
7029,Girona,Roses,17484,De Roses a Besalu Parcel·la 38-38 Comp,4,--Departament de Territori i Sostenibilitat (Assignació) ;,"Tram Roses a Besalú carretera C-260 pk. 42,500 a 43,750",Vial,3597107EG1739N0001EE;
1854,Girona,Roses,17482,De les Arenes,39-43,--Departament d'Interior (Assignació) ;,Comissaria de Mossos d'Esquadra,Comissaria de mossos d'esquadra,17161A008010040001ZQ;
